Pressure (Pa),Time,SPressure,Altitude,SAltitude,Velocity,SVelocity
101327.401,1,101327.401,1.344552610415721,1.344552610415721,0,0.0
101327.401,2,101327.40100000003,1.344552610415721,1.344552610415721,0.0,0.0
101326.2005,3,101326.96882000001,1.6722747332288326,1.4625325746284412,0.3277221228131115,0.11797996421272017
101331.0025,4,101328.54387600003,0.3614051053051104,1.0325679402959795,-1.3108696279237222,-0.42996463433246174
101327.401,5,101327.73906080003,1.344552610415721,1.2522684751376256,0.9831475051106107,0.21970053484164603
101328.6015,6,101328.10362864002,1.0168336315606654,1.1527464698054246,-0.32771897885505563,-0.09952200533220093
101327.401,7,101327.77102291203,1.344552610415721,1.2435427345442929,0.32771897885505563,0.0907962647388682
101328.6015,8,101328.12919832963,1.0168336315606654,1.1457658773307586,-0.32771897885505563,-0.09777685721353438
101329.802,9,101328.6558386637,0.6891177965345545,1.00200172756734,-0.3277158350261109,-0.14376414976341853
101329.802,10,101328.88507093096,0.6891177965345545,0.939424941360783,0.0,-0.06257678620655709
101328.6015,11,101328.63627674479,1.0168336315606654,1.0073412130049373,0.3277158350261109,0.06791627164415426
101331.0025,12,101329.49368139585,0.3614051053051104,0.7732854272640831,-0.655428526255555,-0.23405578574085417
101331.0025,13,101329.79544511669,0.3614051053051104,0.6909093628722887,0.0,-0.08237606439179453
101329.802,14,101329.60467609334,0.6891177965345545,0.7429850802014529,0.32771269122944413,0.05207571732916428
101328.6015,15,101329.21196087469,1.0168336315606654,0.8501893240774732,0.3277158350261109,0.10720424387602029
101331.0025,16,101329.95422869976,0.3614051053051104,0.6475639161221118,-0.655428526255555,-0.20262540795536135
101329.802,17,101329.7317029598,0.6891177965345545,0.7083087228013115,0.32771269122944413,0.06074480667919963
101328.6015,18,101329.31358236786,1.0168336315606654,0.8224482381573601,0.3277158350261109,0.11413951535604858
101329.802,19,101329.60334589428,0.6891177965345545,0.7433476162286213,-0.3277158350261109,-0.07910062192873882
101331.0025,20,101330.07525671544,0.3614051053051104,0.6145250834472081,-0.32771269122944413,-0.1288225327814132
101331.0025,21,101330.26070537236,0.3614051053051104,0.5639010878187887,0.0,-0.05062399562841951
101331.0025,22,101330.4090642979,0.3614051053051104,0.523401891316053,0.0,-0.04049919650273561
101331.0025,23,101330.52775143833,0.3614051053051104,0.49100253411386446,0.0,-0.03239935720218849
101331.0025,24,101330.62270115069,0.3614051053051104,0.46508304835211367,0.0,-0.025919485761750793
101331.0025,25,101330.69866092056,0.3614051053051104,0.44434745974271306,0.0,-0.020735588609400637
101328.6015,26,101329.89506873646,1.0168336315606654,0.6637132583071923,0.655428526255555,0.21936579856447933
101332.203,27,101330.93289498918,0.033695557807777554,0.38040762640684733,-0.9831380737528879,-0.28330563190034497
101228.96,28,101294.01943599134,28.228213839482866,10.461091794090066,28.194518281675087,10.080684167683218
100635.913,29,101067.51062879308,190.63528604194153,72.48106219605376,162.40707220245866,62.019970401963675
99525.4505,30,100581.42460303448,496.83320276439184,206.34315698531344,306.1979167224503,133.8620947892597
99273.3455,31,100279.47198242758,566.7334517688881,289.6052557827478,69.90024900449629,83.26209879743436
98231.3115,32,99703.11444594208,857.188294140111,449.5946382336162,290.45484237122287,159.98938245086833
97460.5905,33,99131.29429675368,1073.627092119938,609.0313366876528,216.43879797982697,159.43669845403673
96849.536,34,98577.17391740295,1246.2145005318062,764.0819548023825,172.58740841186818,155.05061811472962
96488.1855,35,98101.56015392237,1348.6903159008718,897.399757481131,102.47581536906569,133.31780267874842
96303.3085,36,97712.3295031379,1401.2400175840255,1006.5757617710146,52.54970168315367,109.17600428988356
96183.2585,37,97387.30730251032,1435.4069595918677,1097.8087120564398,34.16694200784218,91.23295028542546
96159.2485,38,97137.85394200827,1442.2444912389851,1167.7898729564877,6.83753164711743,69.9811609000479
96237.281,39,96970.22455360662,1420.0275650564056,1214.6827031872588,-22.216926182579527,46.89283023077089
96707.877,40,96993.0504028853,1286.3507898198066,1207.6280364759125,-133.67677523659904,-7.0546667113462185
96561.416,41,96883.28976230825,1327.897715418246,1238.3294803601295,41.54692559843943,30.70144388421707
96782.308,42,96898.43612984661,1265.256300282089,1233.6922179227365,-62.64141513615709,-4.637262437393206
97000.799,43,96953.86726387727,1203.4095513963805,1217.740204795752,-61.846748885708394,-15.95201312698445
97000.799,44,96963.25361110183,1203.4095513963805,1214.8740741158779,0.0,-2.8661306798742183
97505.009,45,97152.27828888145,1061.1156390414797,1161.3553611242141,-142.29391235490084,-53.518712991663676
97748.7105,46,97310.55697110518,992.5537250494704,1116.6251276705439,-68.5619139920093,-44.73023345367016
97996.0135,47,97487.21675688415,923.1199269510563,1066.8146798309,-69.43379809841406,-49.8104478396437
98243.3165,48,97678.00518550733,853.8278653260301,1013.130587069922,-69.29206162502624,-53.68409276097816
98501.424,49,97883.98614840588,781.6589430428323,955.2892306991926,-72.16892228319773,-57.841356370729514
98775.138,50,98106.0107587247,705.2934165139387,893.0715836175189,-76.36552652889361,-62.217647081673675
99017.639,51,98327.13656697975,637.7792591967126,831.2108535626014,-67.51415731722614,-61.860730054917376
99299.7565,52,98566.79935358382,559.4038328210662,764.309381194191,-78.37542637564638,-66.90147236841042
99797.964,53,98892.74548286706,421.435426434008,673.6596452202251,-137.96840638705822,-90.64973597396589
100321.382,54,99262.21966629366,277.084932042549,571.2486234820566,-144.350494391459,-102.41102173816863
100585.492,55,99569.13173303494,204.4788879627597,486.27770932543086,-72.60604407978929,-84.97091415662562
100815.988,56,99855.38234642796,141.2396520259567,407.15182011564764,-63.239235936803,-79.12588920978328
101058.489,57,100134.80383714236,74.8329571986082,330.06297635986397,-66.4066948273485,-77.08884375578361
